SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,AvgMonthlySpend,ChargeRatio,TotalServices,HasInternetService,HasPhoneService,IsPaperlessBilling,HasPartner,HasDependents,FamilySize,IsMonthToMonth,RecencyScore,MonetaryValue,ServiceFrequency,EstimatedCLV,IsElectronicCheck,ServiceAdoptionRate,ChargesPerService,HasFiberOptic,NoInternetService,HasFullProtection,login_count_mean,login_count_std,login_count_sum,data_usage_gb_mean,data_usage_gb_max,call_minutes_mean,call_minutes_sum,support_tickets_sum,support_tickets_mean,support_calls_sum,late_payment_sum,feature_usage_score_mean,feature_usage_score_std,feature_usage_score_min,recent_login_avg,early_login_avg,engagement_trend,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2 years,tenure_group_2-4 years,tenure_group_4-6 years,MonetaryTier_Medium,MonetaryTier_High,MonetaryTier_VIP
0,0,0,6,1,0,0,20.15,130.5,18.642857142857142,0.1532319391634981,1,0,1,0,0,0,0,1,0.14285714285714285,130.5,0.14285714285714285,483.59999999999997,0,0.125,10.075,0,1,0,5.333333333333333,3.559026084010437,32,0.0,0.0,299.43630508143184,1796.6178304885912,7,1.1666666666666667,6,0,53.44708408156085,31.398907809007603,5.196065364888112,2.3333333333333335,8.333333333333334,-6.0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,27,1,1,1,85.9,2220.1,79.28928571428571,0.03867453063797218,4,1,1,1,1,0,1,0,0.03571428571428571,2220.1,0.14285714285714285,257.70000000000005,1,0.5,17.18,1,0,0,7.962962962962963,3.8975483564521927,215,46.56210322465151,86.04052268651805,285.1136628451884,7698.068896820087,13,0.48148148148148145,9,2,51.379854346104786,21.06469937418234,6.9117281898896294,5.666666666666667,8.0,-2.333333333333333,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,58,1,2,1,25.3,1474.35,24.988983050847455,0.017148473243637104,1,0,1,1,0,0,0,0,0.01694915254237288,1474.35,0.01694915254237288,0.0,0,0.125,12.65,0,1,0,8.0,3.9735970711951314,464,0.0,0.0,312.46119813160226,18122.74949163293,34,0.5862068965517241,21,5,52.650057044747925,24.667868096682874,8.297261455587503,4.666666666666667,8.666666666666666,-3.999999999999999,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0
0,1,1,72,1,2,1,104.9,7732.65,105.92671232876712,0.013564099745915579,7,1,1,1,1,1,2,0,0.0136986301369863,7732.65,0.0958904109589041,0.0,0,0.875,13.1125,1,0,1,7.569444444444445,3.756033227023413,545,51.79580295838022,98.70480470873473,300.5440304152925,21639.170189901062,41,0.5694444444444444,26,6,47.15297755973979,23.024572439876952,2.712551149666131,4.666666666666667,6.666666666666667,-2.0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0,0,28,0,0,1,35.75,961.4,33.15172413793103,0.03714671654197839,3,1,0,1,0,0,0,1,0.034482758620689655,961.4,0.10344827586206896,71.5,0,0.375,8.9375,0,0,0,6.357142857142857,2.9591576092891287,178,51.97986758123272,82.83887572343352,309.0314213044397,8652.87979652431,20,0.7142857142857143,7,1,46.84956185608696,22.10286270590573,6.846782772542162,4.333333333333333,6.333333333333333,-2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
0,1,1,40,1,1,1,85.05,3355.65,81.84512195121951,0.025337762352345344,4,1,1,1,1,1,2,0,0.024390243902439025,3355.65,0.0975609756097561,0.0,1,0.5,17.009999999999998,1,0,0,7.525,3.4565990399635487,301,43.54833898676746,94.18784137999853,298.38606083371906,11935.442433348762,29,0.725,12,3,54.68775488578983,21.128009997598845,10.557653456532714,4.0,7.0,-3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,1,0,0,20.5,20.5,10.25,0.9534883720930233,1,0,1,0,0,0,0,1,0.5,20.5,0.5,594.5,0,0.125,10.25,0,1,0,6.0,0.0,6,0.0,0.0,464.8362039838223,464.8362039838223,1,1.0,0,0,44.37352004922326,0.0,44.37352004922326,6.0,6.0,0.0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,5,1,0,1,80.0,412.5,68.75,0.19347037484885127,3,1,1,1,0,0,0,1,0.16666666666666666,412.5,0.5,2000.0,1,0.375,20.0,1,0,0,7.4,4.560701700396552,37,39.20065354532758,58.867200463850175,290.01010219508817,1450.0505109754408,4,0.8,3,0,37.19048153992776,13.45429062738378,13.891399129440781,6.333333333333333,9.0,-2.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,1,69.2,69.2,34.6,0.9857549857549858,2,1,1,1,0,0,0,1,0.5,69.2,1.0,2006.8000000000002,1,0.25,23.066666666666666,1,0,0,9.0,0.0,9,80.37255584522691,80.37255584522691,197.02135724542188,197.02135724542188,1,1.0,0,0,38.32015925983091,0.0,38.32015925983091,9.0,9.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,12,1,0,1,105.3,1275.65,98.12692307692308,0.0824814945364822,6,1,1,1,0,1,1,1,0.07692307692307693,1275.65,0.46153846153846156,1895.3999999999999,1,0.75,15.042857142857143,1,0,0,7.916666666666667,2.8749176536296677,95,45.75909980513836,77.61423793636362,288.0480639193453,3456.5767670321434,10,0.8333333333333334,4,1,49.18406526476877,24.444913927320172,7.857481431037374,6.333333333333333,10.666666666666666,-4.333333333333333,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,5,1,0,1,96.1,453.4,75.56666666666666,0.21148767605633803,5,1,1,1,0,0,0,1,0.16666666666666666,453.4,0.8333333333333334,2402.5,1,0.625,16.016666666666666,1,0,0,7.4,2.0736441353327724,37,35.487139186682164,69.51920905761804,333.9311115685283,1669.6555578426414,4,0.8,5,0,39.579930015011676,19.877996499178387,16.023075748360014,6.0,8.333333333333334,-2.333333333333334,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
0,1,0,71,1,2,1,86.1,6045.9,83.97083333333333,0.014238700821908746,8,1,1,1,1,0,1,0,0.013888888888888888,6045.9,0.1111111111111111,0.0,0,1.0,9.566666666666666,0,0,1,7.676056338028169,3.520449029344021,545,49.60523656687912,101.46089964872296,320.0536568012918,22723.80963289172,34,0.4788732394366197,28,2,47.69851975866648,21.053850933960366,5.32613641491989,7.0,10.333333333333334,-3.333333333333334,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,3,1,0,1,76.95,228.4,57.1,0.3354402789886661,2,1,1,1,0,0,0,1,0.25,228.4,0.5,2077.65,1,0.25,25.650000000000002,1,0,0,9.333333333333334,2.886751345948129,28,43.00150618774785,73.27285332364616,178.4800232683193,535.4400698049578,2,0.6666666666666666,4,0,53.52244588281897,20.615707263228582,29.832587508835672,9.333333333333334,9.333333333333334,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,30,1,0,0,19.65,655.85,21.156451612903226,0.029915505823247313,1,0,1,0,1,0,1,1,0.03225806451612903,655.85,0.03225806451612903,0.0,0,0.125,9.825,0,1,0,8.233333333333333,4.665968749125533,247,0.0,0.0,309.26436693203846,9277.931007961153,16,0.5333333333333333,19,0,43.773583939387,23.02568376369052,7.754104307700594,5.666666666666667,10.666666666666666,-4.999999999999999,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0,25,1,1,1,20.2,507.9,19.534615384615385,0.03969345647474946,1,0,1,1,1,0,1,0,0.038461538461538464,507.9,0.038461538461538464,101.0,0,0.125,10.1,0,1,0,7.4,3.6170890690351185,185,0.0,0.0,319.47753619713217,7986.9384049283035,20,0.8,12,1,49.29117591419636,24.198818640054867,10.052361437570127,5.333333333333333,11.0,-5.666666666666667,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,1,1,52,1,2,0,24.55,1331.05,25.114150943396226,0.018430239105138697,1,0,1,0,1,1,2,0,0.018867924528301886,1331.05,0.018867924528301886,0.0,0,0.125,12.275,0,1,0,8.211538461538462,3.9721409175758033,427,0.0,0.0,302.55268372537597,15732.73955371955,33,0.6346153846153846,22,1,54.88370864177951,20.726726252010558,11.163080944448488,9.666666666666666,9.333333333333334,0.33333333333333215,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
1,0,0,46,1,1,1,110.0,4874.8,103.71914893617021,0.02256040034455884,7,1,1,1,0,0,0,0,0.02127659574468085,4874.8,0.14893617021276595,0.0,1,0.875,13.75,1,0,1,8.0,3.944053188733078,368,51.30144981630486,92.1559538912734,280.60360661679005,12907.765904372342,38,0.8260869565217391,14,3,52.039573148814696,19.660821093303177,12.292072253038071,7.333333333333333,12.666666666666666,-5.333333333333333,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
0,0,0,9,1,0,1,70.5,597.9,59.79,0.11771581232259143,2,1,1,1,0,0,0,1,0.1,597.9,0.2,1480.5,1,0.25,23.5,1,0,0,6.444444444444445,3.643868518179241,58,49.01622843057419,77.2881651989549,299.4340002032852,2694.906001829567,10,1.1111111111111112,5,0,50.44860475547641,18.997593688182114,17.982355539792604,4.333333333333333,7.333333333333333,-3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0,19,1,0,1,86.85,1564.4,78.22,0.055481027213491754,3,1,1,1,1,0,1,1,0.05,1564.4,0.15,955.3499999999999,1,0.375,21.7125,1,0,0,8.473684210526315,4.4891031157265395,161,54.56798665603425,104.439523061008,280.95065754213755,5338.062493300614,20,1.0526315789473684,12,1,52.19649070062188,22.526862764156515,19.73360800432677,6.666666666666667,14.333333333333334,-7.666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,12,1,0,1,49.4,611.65,47.05,0.08063331429037787,3,1,1,1,0,0,0,1,0.07692307692307693,611.65,0.23076923076923078,889.1999999999999,1,0.375,12.35,0,0,0,6.0,3.330301651638946,72,46.224767717272734,80.49947986376046,315.335762957737,3784.029155492844,18,1.5,6,2,44.08309388088497,23.47137413158739,9.854348247758953,3.3333333333333335,8.0,-4.666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,45,1,1,1,98.7,4525.8,98.38695652173914,0.02180348148802686,6,1,1,1,1,0,1,0,0.021739130434782608,4525.8,0.13043478260869565,0.0,0,0.75,14.1,1,0,0,7.733333333333333,3.8635828873304536,348,49.610833906246846,97.86740586022185,306.44074168280457,13789.833375726206,29,0.6444444444444445,20,5,47.49648902293154,22.338934100515477,6.753103752300979,5.333333333333333,8.333333333333334,-3.000000000000001,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,1,36,1,0,1,104.5,3684.95,99.59324324324324,0.028350900039338572,6,1,1,1,1,1,2,1,0.02702702702702703,3684.95,0.16216216216216217,0.0,0,0.75,14.928571428571429,1,0,0,7.222222222222222,3.7955696813981956,260,53.814470101737385,97.56480599615482,334.74748298383656,12050.909387418116,23,0.6388888888888888,9,0,50.91559211659787,22.641698125985997,9.92199186628926,3.6666666666666665,10.333333333333334,-6.666666666666668,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
0,0,0,38,1,0,1,95.1,3691.2,94.64615384615384,0.02575700124586967,5,1,1,1,0,0,0,1,0.02564102564102564,3691.2,0.1282051282051282,0.0,0,0.625,15.85,1,0,0,7.157894736842105,3.6725888636754815,272,47.14084812936032,84.55655087622782,323.445220034184,12290.918361298991,19,0.5,20,3,51.257227137945655,24.60722614358369,10.41663348135346,6.0,6.333333333333333,-0.33333333333333304,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,1,1,1,1,0,0,19.2,19.2,9.6,0.9504950495049505,1,0,1,0,1,1,2,1,0.5,19.2,0.5,556.8,0,0.125,9.6,0,1,0,8.0,0.0,8,0.0,0.0,264.82375558559846,264.82375558559846,2,2.0,1,0,58.67883697775256,0.0,58.67883697775256,8.0,8.0,0.0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,10,1,0,1,98.5,1037.75,94.3409090909091,0.09482551143200962,5,1,1,1,1,0,1,1,0.09090909090909091,1037.75,0.45454545454545453,1970.0,1,0.625,16.416666666666668,1,0,0,6.4,3.272783388968954,64,52.05188913365661,90.53252536848439,304.9148831289154,3049.148831289154,3,0.3,7,1,54.297718337204195,18.570119230805002,29.94993017415038,4.666666666666667,9.0,-4.333333333333333,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
0,1,1,13,1,0,0,44.8,559.2,39.94285714285714,0.07997143877186717,2,1,1,0,1,1,2,1,0.07142857142857142,559.2,0.14285714285714285,761.5999999999999,0,0.25,14.933333333333332,0,0,0,8.615384615384615,3.0424349222966565,112,56.147915215708785,107.8472932922864,362.24468594436473,4709.180917276742,14,1.0769230769230769,9,0,50.62339046202211,23.583735359559395,17.710567601339662,7.0,9.333333333333334,-2.333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,18,1,1,1,82.0,1425.45,75.02368421052631,0.05748536576816572,6,1,1,1,0,0,0,0,0.05263157894736842,1425.45,0.3157894736842105,984.0,0,0.75,11.714285714285714,0,0,0,7.277777777777778,4.335972047277432,131,59.26770701402879,115.56932116025385,309.16460291697695,5564.962852505585,13,0.7222222222222222,12,0,52.872284912037266,24.34519158432877,5.081089238797504,6.0,11.0,-5.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
0,1,0,37,0,2,0,45.4,1593.1,41.92368421052631,0.02848002007402296,4,1,0,0,1,0,1,0,0.02631578947368421,1593.1,0.10526315789473684,0.0,1,0.5,9.08,0,0,0,6.918918918918919,3.616154943662755,256,48.054892469694586,78.77729807214322,313.84483942152775,11612.259058596526,28,0.7567567567567568,16,2,51.08738357798172,22.89398449596471,15.112550089199203,4.666666666666667,10.333333333333334,-5.666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,1,5,1,0,0,20.35,122.0,20.333333333333332,0.16544715447154473,1,0,1,0,0,1,1,1,0.16666666666666666,122.0,0.16666666666666666,508.75000000000006,0,0.125,10.175,0,1,0,9.0,4.795831523312719,45,0.0,0.0,327.11190788854674,1635.5595394427337,4,0.8,9,1,54.42035075175933,24.313321162209608,18.064350316698448,6.0,12.333333333333334,-6.333333333333334,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,11,1,0,0,74.95,815.5,67.95833333333333,0.09179424372320882,3,1,1,0,0,0,0,1,0.08333333333333333,815.5,0.25,1424.05,1,0.375,18.7375,1,0,0,8.272727272727273,3.1333978072025612,91,37.58695304443574,67.32881774444516,307.87764439482027,3386.654088343023,10,0.9090909090909091,3,0,57.37004436794678,20.460862398983398,21.047489280153634,7.333333333333333,6.666666666666667,0.6666666666666661,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
